id;tracking_id;user_id;user_ip;country_code;action_type;action_detail;failed_reason;action_time_stamp;status;created_by;created_time_stamp
1;bandwidth op;enable stick;Gardens Shoe;BO;Incredible P;Legacy;Tools empowering Centralized;2022-06-11T16:21:08;false;Oklahoma;2022-06-11T13:47:31
2;Account bypa;teal cyan ge;bus plum;SS;Focused blee;Metal;Account PNG;2022-06-11T09:18:49;false;Granite;2022-06-11T09:14:38
3;impactful;streamline;Berkshire;PW;focus;parallelism;Bedfordshire Ruble;2022-06-11T16:03:36;true;Kentucky;2022-06-11T18:12:31
4;Unbranded Sa;efficient;Practical or;AW;connect mobi;feed recontextualize;input programming;2022-06-12T03:44:44;true;Corporate Stream discrete;2022-06-11T09:16:16
5;Licensed set;seize;open-source ;GR;strategy;Illinois;Macao Arizona engage;2022-06-11T18:32:10;false;Tala even-keeled Courts;2022-06-11T12:43:13
6;Pike;Infrastructu;Function-bas;NR;Central bloc;Engineer Engineer;back Awesome Escudo;2022-06-11T10:56:20;false;Representative Canyon regional;2022-06-11T19:18:36
7;calculating ;Small Produc;online Brand;CR;Ouguiya;green;index;2022-06-11T14:14:12;false;copy Throughway;2022-06-11T17:48:29
8;Peru Chair i;copying;parsing;CA;Corporate de;embrace Chief British;Ridge;2022-06-11T18:22:18;false;green transform Baby;2022-06-11T15:22:55
9;markets;Multi-channe;Brand collab;SG;Rustic Marke;Dynamic;Loan synthesizing database;2022-06-11T16:55:43;true;syndicate;2022-06-11T10:16:46
10;District;Soap;Eritrea Dire;SR;systemic;Paradigm Account e-services;Berkshire;2022-06-12T03:50:59;false;Senior harness Rubber;2022-06-11T12:03:10
